num_shop,num_cash_desk,dt,doc_id,item,category,amount,price,discount
7,3,2025-05-16,787dbd0759,Westwing,декор,5,4116.69,7
7,3,2025-05-16,787dbd0759,Сонкрафт,текстиль,3,1494.96,26
7,3,2025-05-16,787dbd0759,Zewa,бытовая химия,2,4780.88,21
7,3,2025-05-16,787dbd0759,Camelion,декор,2,4020.36,2
7,3,2025-05-16,787dbd0759,Arcoroc,посуда,3,637.64,11
7,3,2025-05-16,25762d26e5,MyFamilyBook,декор,3,1771.34,21
7,3,2025-05-16,25762d26e5,Emily,хранение,2,2510.32,27
7,3,2025-05-16,25762d26e5,Arcoroc,посуда,4,279.77,5
7,3,2025-05-16,25762d26e5,Domestos,бытовая химия,5,1836.26,16
7,3,2025-05-16,25762d26e5,Flower Fantasy,декор,2,3297.58,18
7,3,2025-05-16,25762d26e5,Tescoma,посуда,4,3009.45,23
7,3,2025-05-16,25762d26e5,Westwing,декор,2,369.69,11
7,3,2025-05-16,3e3c5c5d84,Ceramica De Bolsico,посуда,2,2816.08,14
7,3,2025-05-16,3e3c5c5d84,Zapak,хранение,1,4834.34,14
7,3,2025-05-16,3e3c5c5d84,MyFamilyBook,декор,1,2573.58,23
7,3,2025-05-16,3e3c5c5d84,ProfiLine,посуда,3,506.26,5
7,3,2025-05-16,3e3c5c5d84,Megusto,посуда,1,2433.33,23
7,3,2025-05-16,3e3c5c5d84,Arcoroc,посуда,4,2122.07,20
7,3,2025-05-16,9dfcb10ab9,Domestos,бытовая химия,4,4061.26,13
7,3,2025-05-16,9dfcb10ab9,Bella,текстиль,2,629.83,30
7,3,2025-05-16,9dfcb10ab9,Vanish,бытовая химия,4,2025.4,3
7,3,2025-05-16,9dfcb10ab9,Domestos,бытовая химия,2,4150.11,23
7,3,2025-05-16,9dfcb10ab9,ProfiLine,посуда,1,4557.01,23
7,3,2025-05-16,9dfcb10ab9,Westwing,декор,5,618.7,11
7,3,2025-05-16,9dfcb10ab9,Pril,бытовая химия,4,191.87,10
7,3,2025-05-16,9dfcb10ab9,ProfiLine,посуда,5,1577.5,23
7,3,2025-05-16,db745c862b,Zewa,бытовая химия,1,3903.56,16
7,3,2025-05-16,db745c862b,Aromatikum,декор,5,2985.34,6
7,3,2025-05-16,db745c862b,Megusto,посуда,4,1179.35,21
7,3,2025-05-16,760d7df6a6,3M Command,хранение,4,3879.95,17
7,3,2025-05-16,b3ca0866c2,Arcoroc,посуда,5,2719.98,1
7,3,2025-05-16,b3ca0866c2,Greenland,текстиль,1,4294.78,1
7,3,2025-05-16,b3ca0866c2,Emily,хранение,1,4975.57,19
7,3,2025-05-16,b3ca0866c2,Belvedere,текстиль,4,748.43,28
7,3,2025-05-16,c17a2f0c1a,Pril,бытовая химия,2,1309.46,2
7,3,2025-05-16,c17a2f0c1a,Tescoma,посуда,2,3150.63,13
7,3,2025-05-16,df5a7d552e,Pril,бытовая химия,1,3279.57,25
7,3,2025-05-16,df5a7d552e,Zapak,хранение,4,3000.65,22
7,3,2025-05-16,df5a7d552e,Grandella,хранение,5,1196.76,0
7,3,2025-05-16,df5a7d552e,Megusto,посуда,3,4053.01,25
7,3,2025-05-16,df5a7d552e,Tescoma,посуда,2,3555.07,10
7,3,2025-05-16,df5a7d552e,Tescoma,посуда,1,2603.23,28
7,3,2025-05-16,df5a7d552e,Flower Fantasy,декор,5,2330.56,0
7,3,2025-05-16,b1ab02897c,Ceramica De Bolsico,посуда,4,3500.17,29
7,3,2025-05-16,b1ab02897c,Greenland,текстиль,3,3293.04,6
7,3,2025-05-16,b1ab02897c,Camelion,декор,4,4945.83,5
7,3,2025-05-16,b1ab02897c,Comet,бытовая химия,2,832.42,25
7,3,2025-05-16,b1ab02897c,Vanish,бытовая химия,4,1380.37,29
7,3,2025-05-16,b1ab02897c,Megusto,посуда,4,595.56,9
7,3,2025-05-16,b1ab02897c,Zapak,хранение,5,4645.83,26
7,3,2025-05-16,b1ab02897c,Tescoma,посуда,1,1504.59,13
7,3,2025-05-16,b1ab02897c,MyFamilyBook,декор,3,3643.39,5
7,3,2025-05-16,b1ab02897c,Grandella,хранение,3,1535.91,21
7,3,2025-05-16,2099d82003,Megusto,посуда,5,1537.32,4
7,3,2025-05-16,2099d82003,MyFamilyBook,декор,1,313.94,4
7,3,2025-05-16,1e96ddaff1,Сонкрафт,текстиль,4,977.53,6
7,3,2025-05-16,1e96ddaff1,Tescoma,посуда,4,3732.93,2
7,3,2025-05-16,4c41e6bd58,Grandella,хранение,2,2444.21,19
7,3,2025-05-16,4c41e6bd58,Domestos,бытовая химия,4,2674.98,24
7,3,2025-05-16,4c41e6bd58,Giraffa,текстиль,4,4873.15,4
7,3,2025-05-16,0cd97ca3f2,Zewa,бытовая химия,2,3722.59,12
7,3,2025-05-16,0cd97ca3f2,ProfiLine,посуда,1,2785.64,0
7,3,2025-05-16,0cd97ca3f2,ProfiLine,посуда,2,960.53,27
7,3,2025-05-16,0cd97ca3f2,Arcoroc,посуда,5,3927.09,8
7,3,2025-05-16,0cd97ca3f2,Bella,текстиль,3,4253.5,0
7,3,2025-05-16,0cd97ca3f2,Vanish,бытовая химия,5,1132.87,29
7,3,2025-05-16,0cd97ca3f2,Tescoma,посуда,2,4222.31,30
7,3,2025-05-16,44f9cdf27f,Сонкрафт,текстиль,1,2368.56,6
7,3,2025-05-16,44f9cdf27f,Pril,бытовая химия,2,1079.34,9
7,3,2025-05-16,44f9cdf27f,Comet,бытовая химия,1,93.09,16
7,3,2025-05-16,e22b9c1695,Сонкрафт,текстиль,4,1518.71,13
7,3,2025-05-16,e22b9c1695,Camelion,декор,3,1923.73,12
7,3,2025-05-16,e22b9c1695,Arcoroc,посуда,1,331.75,16
7,3,2025-05-16,e22b9c1695,Westwing,декор,3,4749.44,20
7,3,2025-05-16,e22b9c1695,Zewa,бытовая химия,5,343.47,22
7,3,2025-05-16,e22b9c1695,Emily,хранение,2,3443.91,7
7,3,2025-05-16,e22b9c1695,Emily,хранение,4,1557.37,2
7,3,2025-05-16,e22b9c1695,Vanish,бытовая химия,1,3683.15,3
7,3,2025-05-16,e22b9c1695,Belvedere,текстиль,3,2777.09,19
7,3,2025-05-16,4d50221b06,Pril,бытовая химия,4,317.67,24
7,3,2025-05-16,4d50221b06,Pril,бытовая химия,5,3481.07,18
7,3,2025-05-16,4d50221b06,Pril,бытовая химия,5,1071.02,7
7,3,2025-05-16,4d50221b06,Domestos,бытовая химия,1,915.48,8
7,3,2025-05-16,4d50221b06,Giraffa,текстиль,5,3425.34,7
7,3,2025-05-16,9c61b864af,Zewa,бытовая химия,4,218.08,24
7,3,2025-05-16,9c61b864af,Westwing,декор,4,454.51,3
7,3,2025-05-16,9c61b864af,Arcoroc,посуда,5,3732.08,23
7,3,2025-05-16,9c61b864af,Greenland,текстиль,3,3296.74,16
7,3,2025-05-16,9c61b864af,Camelion,декор,5,4896.68,27
7,3,2025-05-16,f831354fd2,Vanish,бытовая химия,3,1846.95,1
7,3,2025-05-16,f831354fd2,ProfiLine,посуда,1,4095.25,3
7,3,2025-05-16,0db4d8e817,Сонкрафт,текстиль,1,3846.7,26
7,3,2025-05-16,0db4d8e817,Comet,бытовая химия,5,3152.33,13
7,3,2025-05-16,0db4d8e817,Lotte Chemical,хранение,5,2094.5,17
7,3,2025-05-16,0db4d8e817,Lotte Chemical,хранение,4,911.41,11
7,3,2025-05-16,0db4d8e817,Domestos,бытовая химия,2,3205.43,12
7,3,2025-05-16,0db4d8e817,MyFamilyBook,декор,3,3527.41,24
7,3,2025-05-16,0db4d8e817,Lotte Chemical,хранение,4,2383.03,29
7,3,2025-05-16,0db4d8e817,3M Command,хранение,3,3706.59,28
7,3,2025-05-16,0db4d8e817,3M Command,хранение,3,4866.46,12
7,3,2025-05-16,9caa940979,Flower Fantasy,декор,1,4001.74,14
7,3,2025-05-16,9caa940979,Zapak,хранение,5,2938.47,5
7,3,2025-05-16,9caa940979,Belvedere,текстиль,1,1181.18,10
7,3,2025-05-16,9caa940979,Camelion,декор,3,3134.53,16
7,3,2025-05-16,9caa940979,Aromatikum,декор,4,2255.83,2
7,3,2025-05-16,9caa940979,Grandella,хранение,5,915.39,1
7,3,2025-05-16,9caa940979,Westwing,декор,2,3011.94,29
7,3,2025-05-16,9caa940979,Bella,текстиль,1,4753.06,20
7,3,2025-05-16,9caa940979,Zapak,хранение,4,1135.71,23
7,3,2025-05-16,2c06f21ed0,Ceramica De Bolsico,посуда,1,2796.49,24
7,3,2025-05-16,c19b7b5444,Lotte Chemical,хранение,3,4968.5,24
7,3,2025-05-16,c19b7b5444,Pril,бытовая химия,2,4113.35,30
